time-step,cId,c.cpu(%used),c.storage(%used),c.ram(%used),c.currUsersAllocated,num allocated users
1,c0,0.3372098214285714,0.4660915798611111,0.5932167454769737,"['v62', 'v21', 'v20', 'v95', 'v27']",5
1,c10,0.3388616071428571,0.5059271918402778,0.4594790810032895,"['v22', 'v10', 'v18', 'v23', 'v3', 'v17', 'v2']",7
1,c45,0.6103303571428571,0.9726698133680556,0.7380467465049342,"['v8', 'v7', 'v24', 'v13', 'v0', 'v25', 'v1', 'v43', 'v9', 'v12', 'v16', 'v4']",12
1,c50,0.40967857142857145,0.6164822048611112,0.6705482884457237,"['v11', 'v35', 'v6', 'v14', 'v5', 'v19', 'v76', 'v15']",8
61,c5,0.6228392857142857,0.7689548068576388,0.9606676603618421,"['v11', 'v33', 'v46', 'v35', 'v6', 'v14', 'v69', 'v5', 'v19', 'v30', 'v76']",11
61,c9,0.5889241071428571,0.8398234049479166,0.827990080180921,"['v22', 'v54', 'v10', 'v18', 'v23', 'v3', 'v98', 'v17', 'v2', 'v78']",10
61,c21,0.8237142857142857,0.8607923719618056,0.948132966694079,"['v8', 'v73', 'v89', 'v7', 'v24', 'v13', 'v0', 'v25', 'v90', 'v1', 'v43']",11
61,c25,0.07167410714285714,0.11164686414930555,0.21144184313322367,['v92'],1
61,c30,0.14299107142857143,0.4457058376736111,0.20960115131578946,"['v83', 'v15', 'v26', 'v72']",4
61,c34,0.17960714285714285,0.5562337239583334,0.2638067948190789,"['v9', 'v85', 'v12', 'v16', 'v4']",5
61,c48,0.62259375,0.6870388454861112,0.8034282483552632,"['v40', 'v62', 'v44', 'v21', 'v20', 'v95', 'v27']",7
121,c3,0.1971294642857143,0.4634535047743056,0.38111315275493424,"['v75', 'v99', 'v51', 'v74', 'v88']",5
121,c10,0.14217410714285714,0.2649468315972222,0.28918135793585525,"['v48', 'v59', 'v57', 'v42']",4
121,c21,0.8237142857142857,0.8607923719618056,0.948132966694079,"['v8', 'v73', 'v89', 'v7', 'v24', 'v13', 'v0', 'v25', 'v90', 'v1', 'v43']",11
121,c26,0.6227901785714286,0.7691107855902778,0.9605423776726973,"['v11', 'v33', 'v46', 'v35', 'v6', 'v14', 'v69', 'v67', 'v5', 'v19', 'v76']",11
121,c34,0.17960714285714285,0.5562337239583334,0.2638067948190789,"['v9', 'v85', 'v12', 'v16', 'v4']",5
121,c37,0.9987633928571429,0.9309963650173612,0.9204615542763158,"['v84', 'v40', 'v93', 'v62', 'v44', 'v28', 'v21', 'v68', 'v20', 'v82']",10
121,c40,0.21435267857142856,0.2222900390625,0.31619102076480265,"['v64', 'v56']",2
121,c46,0.5889241071428571,0.8398234049479166,0.827990080180921,"['v22', 'v54', 'v10', 'v18', 'v23', 'v3', 'v98', 'v17', 'v2', 'v78']",10
181,c1,0.3575267857142857,0.8890652126736112,0.7377383583470395,"['v30', 'v92', 'v83', 'v81', 'v49', 'v32', 'v15', 'v26']",8
181,c3,0.8237142857142857,0.8607923719618056,0.948132966694079,"['v8', 'v73', 'v89', 'v7', 'v24', 'v13', 'v0', 'v25', 'v90', 'v1', 'v43']",11
181,c5,0.14315178571428572,0.11229790581597222,0.10554263466282894,['v96'],1
181,c10,0.4982857142857143,0.5981106228298612,0.7092028166118421,"['v91', 'v34', 'v48', 'v59', 'v53', 'v57', 'v42']",7
181,c12,0.9997991071428571,0.7782660590277778,0.7372404399671053,"['v52', 'v84', 'v40', 'v93', 'v62', 'v31', 'v44']",7
181,c17,0.6254910714285714,0.8808661566840278,0.8545981959292763,"['v22', 'v54', 'v10', 'v18', 'v79', 'v70', 'v23', 'v3', 'v98', 'v17', 'v2', 'v78']",12
181,c18,0.6227901785714286,0.7691107855902778,0.9605423776726973,"['v11', 'v33', 'v46', 'v35', 'v6', 'v14', 'v69', 'v67', 'v5', 'v19', 'v76']",11
181,c30,0.32229017857142855,0.3759290907118056,0.5526123046875,"['v45', 'v71', 'v37', 'v36', 'v80']",5
181,c39,0.6417544642857143,0.7912394205729166,0.9733854594983553,"['v28', 'v64', 'v21', 'v41', 'v68', 'v77', 'v60', 'v55', 'v97', 'v20', 'v56', 'v58']",12
181,c50,0.2685669642857143,0.5742390950520834,0.5919221576891447,"['v75', 'v47', 'v99', 'v51', 'v74', 'v88']",6
241,c5,0.9831830357142857,0.8117472330729166,0.726183439555921,"['v8', 'v45', 'v73', 'v89', 'v96', 'v7', 'v24', 'v13', 'v38', 'v75', 'v39', 'v71', 'v0']",13
241,c25,0.37655357142857143,0.9104139539930556,0.7498104697779605,"['v25', 'v90', 'v1', 'v43', 'v9', 'v85', 'v12', 'v16', 'v4']",9
