time-step,number of users,number of winners,prices
1,1,1,0
31,1,1,0
61,1,1,0
91,1,1,0
121,1,1,0
151,1,1,0
181,1,1,0
211,1,1,0
241,1,1,0
271,1,1,0
301,1,1,0
331,1,1,0
361,1,1,0
391,1,1,0
421,1,1,0
451,1,1,0
481,1,1,0
511,1,1,0
541,1,1,0
571,1,0,0
601,1,1,0
631,1,1,0
661,1,1,0
691,1,1,0
721,1,1,0
751,1,1,0
781,1,1,0
811,1,1,0
841,1,1,0
871,1,1,0
901,1,1,0
931,1,1,0
961,1,1,0
991,1,1,0
1021,1,1,0
1051,1,1,0
1081,1,1,0
1111,1,1,0
1141,1,1,0
1171,1,1,0
1201,1,0,0
1231,1,0,0
1261,1,0,0
1291,1,0,0
1321,1,0,0
1351,1,0,0
1381,1,1,0
1411,1,1,0
1441,1,1,0
1471,1,1,0
1501,1,1,0
1531,1,1,0
1561,1,1,0
1591,1,1,0
1621,1,1,0
1651,1,1,0
1681,1,1,0
1711,1,1,0
1741,1,1,0
1771,1,1,0
1801,1,1,0
1831,1,1,0
1861,1,1,0
1891,1,1,0
1921,1,1,0
1951,1,1,0
1981,1,1,0
2011,1,1,0
2041,1,1,0
2071,1,1,0
2101,1,1,0
2131,1,1,0
2161,1,1,0
2191,1,1,0
2221,1,1,0
2251,1,1,0
2281,1,1,0
2311,1,1,0
